date;MVDA10
20141231;100
20150101;85.89
20150102;85.62
20150103;69.99
20150104;69.91
20150105;69.98
20150106;71.5
20150107;73.08
20150108;68.65
20150109;69.17
20150110;63.77
20150111;62.95
20150112;66.1
20150113;56.47
20150114;42.84
20150115;52.2
20150116;54.29
20150117;51.81
20150118;51.94
20150119;50.12
20150120;49.37
20150121;51.68
20150122;54.69
20150123;52.66
20150124;59.75
20150125;64.25
20150126;64.83
20150127;84.9
20150128;57.03
20150129;56.87
20150130;56.6
20150131;54.2
20150201;54.96
20150202;52.76
20150203;51.96
20150204;51.38
20150205;48.8
20150206;51.12
20150207;52.21
20150208;50.8
20150209;50.78
20150210;51.28
20150211;75.38
20150212;51.77
20150213;54.83
20150214;57.55
20150215;52.49
20150216;52.26
20150217;53.84
20150218;52.06
20150219;53.91
20150220;53.02
20150221;53.08
20150222;51.49
20150223;52.3
20150224;53.11
20150225;53.09
20150226;54.46
20150227;56.08
20150228;55.86
20150301;56.57
20150302;58.7
20150303;57.76
20150304;56.64
20150305;56.68
20150306;57.04
20150307;57.56
20150308;56.53
20150309;58.55
20150310;58.56
20150311;59.01
20150312;58.8
20150313;57.86
20150314;57.26
20150315;57.42
20150316;57.45
20150317;56.45
20150318;51.85
20150319;52.78
20150320;52.83
20150321;51.48
20150322;52.69
20150323;51.31
20150324;47.71
20150325;47.71
20150326;47.99
20150327;48.47
20150328;49.27
20150329;47.38
20150330;47.9
20150331;46.72
20150401;47.4
20150402;48.35
20150403;50.04
20150404;49.16
20150405;49.79
20150406;49.08
20150407;49.47
20150408;48.51
20150409;47.28
20150410;45.39
20150411;44.44
20150412;44.31
20150413;42.27
20150414;41.13
20150415;42
20150416;42.85
20150417;42.35
20150418;42.43
20150419;42.06
20150420;42.29
20150421;43.56
20150422;43.34
20150423;43.32
20150424;42.57
20150425;42.25
20150426;40.7
20150427;42.06
20150428;40.97
20150429;41.4
20150430;43.05
20150501;42.27
20150502;42.57
20150503;42.8
20150504;42.51
20150505;41.62
20150506;40.97
20150507;41.74
20150508;42.09
20150509;41.74
20150510;41.28
20150511;41.42
20150512;41.8
20150513;40.67
20150514;40.91
20150515;41.05
20150516;40.78
20150517;40.45
20150518;38.81
20150519;41.12
20150520;41.27
20150521;41.44
20150522;44.98
20150523;45.47
20150524;45.69
20150525;45.15
20150526;45.39
20150527;46.05
20150528;48.53
20150529;50.53
20150530;47.56
20150531;46.3
20150601;43.58
20150602;46.06
20150603;45.51
20150604;44.84
20150605;45.96
20150606;46.11
20150607;46.03
20150608;47.02
20150609;47.15
20150610;46.58
20150611;46.79
20150612;46.74
20150613;47.79
20150614;48.58
20150615;50.17
20150616;57.31
20150617;58.31
20150618;60.84
20150619;60.54
20150620;61.15
20150621;59.69
20150622;60.67
20150623;59.74
20150624;58.78
20150625;59.65
20150626;60.02
20150627;62.2
20150628;61.96
20150629;66.97
20150630;67.84
20150701;66.75
20150702;67.04
20150703;67.64
20150704;67.62
20150705;69.36
20150706;71.01
20150707;70.83
20150708;74.39
20150709;81.7
20150710;67
20150711;67.41
20150712;73.76
20150713;68.28
20150714;67.94
20150715;65.35
20150716;61.3
20150717;62.6
